tamanyo,distancia-trie,1,2,4,5,7
2500,dNo,0.08928571428571429,0.11383928571428571,0.14732142857142858,0.15401785714285715,0.15178571428571427
2500,dYes,0.026785714285714284,0.06696428571428571,0.18526785714285715,0.22544642857142858,0.28125
2500,iNo,0.43973214285714285,0.43526785714285715,0.4330357142857143,0.43526785714285715,0.4330357142857143
2500,iYes,0.03794642857142857,0.08258928571428571,0.20758928571428573,0.26339285714285715,0.328125
2500,lNo,0.08035714285714286,0.10044642857142858,0.12946428571428573,0.13616071428571427,0.13839285714285715
2500,lYes,0.05580357142857143,0.060267857142857144,0.07142857142857142,0.09151785714285714,0.09821428571428571
10000,dNo,0.46875,0.5401785714285714,0.5915178571428571,0.5825892857142857,0.5959821428571429
10000,dYes,0.10491071428571429,0.26339285714285715,0.7053571428571429,0.921875,1.1674107142857142
10000,iNo,1.6830357142857142,1.6763392857142858,1.6763392857142858,1.6785714285714286,1.6941964285714286
10000,iYes,0.109375,0.28794642857142855,0.8214285714285714,1.0669642857142858,1.3415178571428572
10000,lNo,0.4263392857142857,0.4888392857142857,0.53125,0.5357142857142857,0.5290178571428571
10000,lYes,0.22098214285714285,0.22321428571428573,0.2924107142857143,0.3482142857142857,0.41294642857142855
35000,dNo,1.2366071428571428,1.28125,1.3147321428571428,1.3392857142857142,1.3616071428571428
35000,dYes,0.23883928571428573,0.6049107142857143,1.6205357142857142,2.049107142857143,2.5625
35000,iNo,3.7924107142857144,3.7924107142857144,3.84375,3.794642857142857,3.814732142857143
35000,iYes,0.27455357142857145,0.6875,1.8861607142857142,2.4174107142857144,3.0513392857142856
35000,lNo,1.0133928571428572,1.1428571428571428,1.1808035714285714,1.1941964285714286,1.203125
35000,lYes,0.5133928571428571,0.5290178571428571,0.671875,0.8013392857142857,0.9486607142857143
