tamanyo,distancia-trie,1,2,4,5,7
2500,dNo,0.08928571428571429,0.11383928571428571,0.14732142857142858,0.15401785714285718,0.15178571428571427
2500,dYes,0.02678571428571428,0.06696428571428571,0.18526785714285718,0.22544642857142858,0.28125
2500,iNo,0.43973214285714285,0.43526785714285715,0.43303571428571436,0.43526785714285715,0.43303571428571436
2500,iYes,0.03794642857142857,0.08258928571428571,0.20758928571428575,0.26339285714285715,0.328125
2500,lNo,0.08035714285714286,0.10044642857142859,0.12946428571428573,0.13616071428571427,0.13839285714285718
2500,lYes,0.05580357142857144,0.060267857142857144,0.07142857142857141,0.09151785714285712,0.09821428571428571
10000,dNo,0.46875,0.5401785714285713,0.5915178571428571,0.5825892857142857,0.5959821428571429
10000,dYes,0.10491071428571429,0.26339285714285715,0.705357142857143,0.921875,1.1674107142857142
10000,iNo,1.683035714285714,1.676339285714286,1.676339285714286,1.6785714285714286,1.6941964285714286
10000,iYes,0.109375,0.28794642857142855,0.8214285714285713,1.0669642857142858,1.3415178571428574
10000,lNo,0.42633928571428564,0.48883928571428564,0.53125,0.5357142857142857,0.5290178571428571
10000,lYes,0.22098214285714282,0.22321428571428575,0.29241071428571436,0.34821428571428564,0.4129464285714285
35000,dNo,1.2366071428571426,1.28125,1.3147321428571426,1.339285714285714,1.3616071428571426
35000,dYes,0.23883928571428575,0.6049107142857143,1.620535714285714,2.049107142857143,2.5625
35000,iNo,3.792410714285715,3.792410714285715,3.84375,3.794642857142857,3.814732142857143
35000,iYes,0.27455357142857145,0.6875,1.886160714285714,2.417410714285715,3.051339285714285
35000,lNo,1.0133928571428574,1.1428571428571426,1.1808035714285714,1.1941964285714286,1.203125
35000,lYes,0.5133928571428571,0.5290178571428571,0.671875,0.8013392857142857,0.9486607142857143
